uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal
0|19|17,52.14285714,23.41672587,59.21039277
0|19|18,100,32.65490074,34.13380219
0|19|19,95.7735404,36.75213675,81.62393162
0|19|2,35.43859649,29.20866602,54.85747317
0|19|20,60.83333333,30.01373626,64.21703297
0|19|21,59.74842767,22.50946132,46.91777598
0|19|22,47.27272727,19.96446058,50.23251857
0|19|23,28.84615385,16.14531521,61.74514572
0|19|24,47.48858447,23.02340809,33.25667049
0|19|25,35.4978355,20.61532151,32.72279766
0|19|26,41.55844156,25.85495068,42.94848374
0|19|27,66,19.27866541,58.58004386
0|19|28,59.5890411,17.39130435,83.69565217
0|19|3,57.18654434,30.48134522,57.622744
0|19|30,61.03896104,21.49710631,56.8306427
0|19|33,45.91503268,32.49266862,57.99120235
0|19|34,42.74193548,23.8697318,76.1302682
0|19|35,38.49557522,26.21557346,42.99424626
0|19|36,54.81335953,26.34868421,45
0|19|37,61.09090909,26.70045472,52.20253884
0|19|39,100,22.56097561,88.7195122
0|19|4,62.27272727,49.64512137,21.89639059
0|19|40,59.91902834,34.28447075,38.3025766
0|19|5,45.96412556,26.89088304,53.44619561
0|19|6,59.61538462,26.93475204,62.90899796
0|19|7,40.07352941,35.80225194,41.06849636
0|19|8,46.45390071,30.83942276,30.85900684
0|19|9,100,45.20690372,45.18610938
0|1|1,75.14124294,64.53763678,7.859764598
0|1|2,47.63313609,42.14899356,23.01864802
0|1|3,63.08724832,31.32683567,24.0905555
0|1|4,40.9159468,51.35784924,1.735700064
0|1|5,34.48275862,26.74919485,25.79307568
0|1|6,42.01183432,13.94827045,9.078837197
0|20|10,89.25836356,28.83413539,52.64208846
0|20|11,61.00628931,24.18041804,48.55199806
0|20|12,80.77994429,19.51753674,34.33329106
0|20|13,49.14228052,22.07463293,22.4547589
0|20|14,40.08097166,31.3455142,14.99505574
0|20|2,27.53751103,21.09967113,26.54817706
0|20|3,35.57951482,30.73644887,23.72377274
0|20|4,77.70224337,21.35975524,17.74405639
0|20|5,32.48,28.17891875,35.65434487
0|20|6,41.02564103,33.08154308,34.41903442
0|20|7,22.90748899,23.52914434,11.71630136
0|20|8,20.6185567,28.56567384,14.89461805
0|20|9,19.76744186,15.56873718,31.67747082
0|21|1,100,28.87931034,74.56896552
0|21|11,64.70588235,32.88774147,67.11225853
0|21|13,41.8128655,50.62240664,67.53112033
0|21|14,100,36.234714,50.45167653
0|21|15,100,30.12908778,55.85628227
0|21|18,32.0754717,30.58539205,49.77175081
0|21|19,44.08866995,22.04561869,56.39329949
0|21|2,64.77272727,33.73482726,41.6713352
0|21|20,38.40399002,22.26750766,50.86346122
0|21|3,100,23.34231806,61.18598383
0|21|4,72.6,70.64564565,59.00900901
0|21|5,55.06216696,25.98550725,57.38405797
0|21|6,65.30612245,21.94615528,47.03714072
0|21|7,51.98237885,28.14267756,71.85732244
0|21|8,86.95652174,77.14285714,61.42857143
0|22|1,34.04825737,23.12788779,59.62211221
0|22|11,60.08492569,26.47767443,60.65188822
0|22|2,48.26254826,19.52096042,36.2327321
0|22|3,46.84684685,23.34009466,40.00450755
0|22|4,30.00968054,26.32127328,25.64853556
0|22|5,22.89002558,23.50138228,9.798034096
0|22|6,41.48020654,19.36161415,40.13707577
0|22|7,80.37798777,27.49969937,17.70532708
0|22|8,17.46794872,19.48037457,11.14339083
0|22|9,33.79310345,24.65676013,24.62896161
0|23|1,13.63636364,24.61483608,14.74788418
0|23|10,33.5978836,24.2121459,26.79790026
0|23|11,76.11367127,28.22780743,25.24559243
0|23|13,50.44247788,23.74095774,18.03640171
0|23|14,42.95774648,27.07253086,62.30246914
0|23|15,27.84,43.23980706,12.11724914
0|23|16,24.26686217,22.8311277,43.16819364
0|23|17,38.63636364,22.72512069,47.69531877
0|23|18,63.13364055,22.74487695,42.22840475
0|23|19,18.06020067,12.49620253,43.0835443
0|23|2,41.7989418,27.55883963,42.28243021
0|23|20,51.63204748,28.15594059,42.27978832
0|23|21,38.11320755,30.65149137,43.36734694
0|23|22,47.4789916,20.66363417,54.89366189
0|23|23,33.25415677,23.33003813,28.46820129
0|23|24,77.41935484,23.19004525,64.02714932
0|23|25,41.40271493,29.5,70.5
0|23|26,21.42857143,14.17821782,21.47194719
0|23|27,39.15966387,23.07969059,50.43622954
0|23|28,59.59183673,25.71665713,45.90162791
0|23|29,38.89875666,26.65445665,55.26862027
0|23|3,18.92655367,24.26982228,20.73195054
0|23|4,23.47266881,19.05979161,40.46523517
0|23|5,70.6959707,20.18502331,46.93327506
