uni_const_code,n_indnota_pre,n_indnota_post
0|27|47,6,8.5
0|27|48,3,9
0|27|5,7,8
0|27|6,5,4
0|27|7,12,14
0|27|8,6,10.5
0|27|9,7,9
0|28|1,4,6
0|28|10,4,4.5
0|28|11,2,5.5
0|28|12,13,10
0|28|13,,4
0|28|14,6,5.5
0|28|15,4,5.5
0|28|16,4,7.5
0|28|17,13,10
0|28|18,3,5
0|28|19,4,5.5
0|28|2,,3.5
0|28|20,3,6
0|28|21,7,4
0|28|22,4,7
0|28|23,3,5
0|28|24,6,3
0|28|25,,2.5
0|28|3,1,4.5
0|28|4,5,11
0|28|5,2,2
0|28|6,4,8
0|28|7,1,4.5
0|28|8,4,5
0|28|9,1,5.5
0|29|1,4,6
0|29|10,5,9
0|29|11,11,11
0|29|12,5,5
0|29|13,22,14.5
0|29|14,8,7
0|29|15,5,5
0|29|16,9,5
0|29|17,7,8
0|29|18,6,10
0|29|19,5,9.5
0|29|2,6,31.5
0|29|20,4,12
0|29|21,4,11
0|29|22,6,4.5
0|29|23,9,7.5
0|29|24,23,14.5
0|29|25,25,15
0|29|26,12,14
0|29|27,13,8
0|29|28,16,11.5
0|29|3,12,6
0|29|4,4,7
0|29|5,2,3
0|29|6,4,1.5
0|29|7,19,11
0|29|8,11,7.5
0|29|9,3,2.5
0|2|1,4,5.5
0|2|2,1,5.5
0|2|3,2,5.5
0|2|4,2,2
0|30|1,2,3
0|30|2,6,4
0|31|1,,1
0|32|1,3,7
0|32|10,6,5
0|32|11,6,6.5
0|32|12,5,7
0|32|13,5,8
0|32|14,15,4
0|32|15,2,6
0|32|16,3,4.5
0|32|17,6,6.5
0|32|18,7,6.5
0|32|19,9,11.5
0|32|2,4,6.5
0|32|20,9,11
0|32|3,4,6
0|32|4,8,9.5
0|32|5,12,9
0|32|6,,4.5
0|32|7,10,8.5
0|32|8,5,6
0|32|9,4,5.5
0|33|1,9,10.5
0|33|10,14,10
0|33|11,23,18.5
0|33|12,7,11.5
0|33|13,11,10.5
0|33|14,21,17.5
0|33|15,15,16.5
0|33|16,17,19
0|33|17,18,10.5
0|33|18,14,12
0|33|19,7,5
0|33|2,20,21
0|33|20,15,12
0|33|21,12,11.5
0|33|22,11,13.5
0|33|23,31,24
0|33|24,13,17.5
0|33|25,12,14
0|33|26,6,11
0|33|27,8,9
0|33|28,15,18
0|33|29,3,6
0|33|3,32,30
0|33|30,8,6.5
0|33|31,14,18
0|33|32,8,22
0|33|33,16,19
0|33|34,11,18
0|33|35,8,20.5
0|33|36,10,17.5
0|33|37,3,15.5
0|33|38,13,19
0|33|39,15,12
0|33|4,23,16
0|33|5,21,12.5
0|33|6,13,7.5
0|33|7,9,18
0|33|8,13,15
0|33|9,9,10
0|34|1,18,14.5
0|35|1,3,8
0|36|1,4,5
0|36|10,6,6
0|36|11,22,5.5
0|36|12,6,4
0|36|13,8,9.5
0|36|14,8,5.5
0|36|15,7,5.5
0|36|16,5,9
0|36|17,5,17.5
0|36|2,9,8
0|36|3,7,7.5
0|36|4,4,93
0|36|5,3,4.5
0|36|6,1,5.5
0|36|7,8,11
0|36|8,9,12.5
0|36|9,14,7.5
0|3|1,6,6
0|3|10,19,11.5
0|3|11,11,15
