uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal,pre-post,post-pre,nota_vote_percentage,gen_state,state_id,n_indnota_pre,n_indnota_post,post-pre_ncand_nota,post-pre_ncand
0|18|1,19.23076923,14.5961165,24.64854369,4.63465273,-4.63465273,0.55,0,18,12,8.5,-3.5,-4.5
0|18|10,39.91769547,35.65273194,52.07874954,4.26496353,-4.26496353,0.715,0,18,5,2.5,-2.5,-3.5
0|18|11,42.0824295,32.23809078,32.32958559,9.84433872,-9.84433872,1.09,0,18,5,4.5,-0.5,-1.5
0|18|12,62.32686981,24.94254221,66.76477486,37.3843276,-37.3843276,1.38,0,18,3,2.5,-0.5,-1.5
0|18|13,56.76229508,18.22323462,73.91799544,38.53906046,-38.53906046,1.995,0,18,4,3,-1,-2
0|18|14,77.5334608,18.87602414,47.26160689,58.65743666,-58.65743666,1.1,0,18,5,4.5,-0.5,-1.5
0|18|2,20.97759674,23.09294872,27.01236264,-2.11535198,2.11535198,0.72,0,18,12,8,-4,-5
0|18|3,100,86.51917865,13.48082135,13.48082135,-13.48082135,1.745,0,18,1,2,1,0
0|18|4,34.39716312,35.78928387,16.54836356,-1.39212075,1.39212075,0.475,0,18,6,6.5,0.5,-0.5
0|18|5,100,79.43221758,2.479898721,20.56778242,-20.56778242,1.285,0,18,1,4.5,3.5,2.5
0|18|6,43.15789474,32.14838273,43.11149253,11.00951201,-11.00951201,0.535,0,18,4,4.5,0.5,-0.5
0|18|7,37.87878788,30.56397929,15.60281065,7.31480859,-7.31480859,0.515,0,18,5,8.5,3.5,2.5
0|18|8,61.38933764,33.38553145,46.3722306,28.00380619,-28.00380619,1.05,0,18,4,3,-1,-2
0|18|9,34.01459854,63.75555687,27.4096844,-29.74095833,29.74095833,1.505,0,18,6,3,-3,-4
0|19|1,67.4796748,33.25500172,42.11904967,34.22467308,-34.22467308,0.905,0,19,4,3.5,-0.5,-1.5
0|19|10,100,44.87179487,73.07692308,55.12820513,-55.12820513,1.025,0,19,1,2,1,0
0|19|11,32.29461756,27.78742542,60.79125479,4.50719214,-4.50719214,0.91,0,19,5,3,-2,-3
0|19|13,55.78947368,37.91158186,62.08841814,17.87789182,-17.87789182,0.85,0,19,2,2,0,-1
0|19|14,100,48.66080556,46.48844817,51.33919444,-51.33919444,0.655,0,19,1,2.5,1.5,0.5
0|19|15,30.82706767,22.93219737,42.4446811,7.8948703,-7.8948703,1.095,0,19,5,7,2,1
0|19|16,100,16.29213483,91.85393258,83.70786517,-83.70786517,1.345,0,19,1,1.5,0.5,-0.5
0|19|17,52.14285714,23.41672587,59.21039277,28.72613127,-28.72613127,1.135,0,19,2,3,1,0
0|19|18,100,32.65490074,34.13380219,67.34509926,-67.34509926,0.71,0,19,1,4.5,3.5,2.5
0|19|19,95.7735404,36.75213675,81.62393162,59.02140365,-59.02140365,0.755,0,19,3,1.5,-1.5,-2.5
0|19|2,35.43859649,29.20866602,54.85747317,6.22993047,-6.22993047,1.58,0,19,4,3,-1,-2
0|19|20,60.83333333,30.01373626,64.21703297,30.81959707,-30.81959707,0.615,0,19,2,2.5,0.5,-0.5
0|19|21,59.74842767,22.50946132,46.91777598,37.23896635,-37.23896635,0.995,0,19,3,5,2,1
0|19|22,47.27272727,19.96446058,50.23251857,27.30826669,-27.30826669,1.155,0,19,4,5.5,1.5,0.5
0|19|23,28.84615385,16.14531521,61.74514572,12.70083864,-12.70083864,1.45,0,19,7,5.5,-1.5,-2.5
0|19|24,47.48858447,23.02340809,33.25667049,24.46517638,-24.46517638,0.83,0,19,7,8,1,0
0|19|25,35.4978355,20.61532151,32.72279766,14.88251399,-14.88251399,0.7,0,19,9,9,0,-1
0|19|26,41.55844156,25.85495068,42.94848374,15.70349088,-15.70349088,0.71,0,19,3,4.5,1.5,0.5
0|19|27,66,19.27866541,58.58004386,46.72133459,-46.72133459,1.325,0,19,3,4,1,0
0|19|28,59.5890411,17.39130435,83.69565217,42.19773675,-42.19773675,1.075,0,19,2,2,0,-1
0|19|3,57.18654434,30.48134522,57.622744,26.70519912,-26.70519912,1.3,0,19,3,3,0,-1
0|19|30,61.03896104,21.49710631,56.8306427,39.54185473,-39.54185473,0.8,0,19,3,4,1,0
0|19|33,45.91503268,32.49266862,57.99120235,13.42236406,-13.42236406,1.54,0,19,3,2.5,-0.5,-1.5
0|19|34,42.74193548,23.8697318,76.1302682,18.87220368,-18.87220368,1.065,0,19,4,2,-2,-3
0|19|35,38.49557522,26.21557346,42.99424626,12.28000176,-12.28000176,1.115,0,19,6,4,-2,-3
0|19|36,54.81335953,26.34868421,45,28.46467532,-28.46467532,1.47,0,19,2,4,2,1
0|19|37,61.09090909,26.70045472,52.20253884,34.39045437,-34.39045437,1.335,0,19,2,3,1,0
0|19|39,100,22.56097561,88.7195122,77.43902439,-77.43902439,1.28,0,19,1,1.5,0.5,-0.5
0|19|4,62.27272727,49.64512137,21.89639059,12.6276059,-12.6276059,1.21,0,19,3,5,2,1
0|19|40,59.91902834,34.28447075,38.3025766,25.63455759,-25.63455759,1.085,0,19,2,3.5,1.5,0.5
